text,label_sentiment
ממש כואב ..... אני בוכה עם המשפחה שלא תדעו עוד צער,label,sentiment
איש יקר שלנו,0,negative
כל הכבוד והמון בהצלחה,0,negative
" תל חי , רובי . בכל העצב הזה היית קרן אור של תקוה . אכן יש נשיא בישראל ",0,negative
נקי כפיים ובר לבב בהצלחה לך ולנו .,0,negative
רובי חג שמח והצלחה בבחירות לנשיאות .,0,negative
הנשיא לא נותן יד . דיי להתלהמות אפשר להביע דיעה ולהתנגד אך לא פיזית . זו הבחירה שלה להנשא למוסלמי . נאחל לה הצלחה !,0,negative
כבוד הנשיא אין מתאים ממך בעולם מלהיות נשיא מדינת ישראל עם ישראל אוהב אותך והקב ׳ ה אוהב אותך ואתה דוגמה ומופת לכל אדם באשר הוא אני מאחל לך אושר עושר ובריאות איתנה עד 120 ועוד,0,negative
" כל הכבוד לך אדוני הנשיא כאיש ימין דווקא , אני חושב שאהבה תנצח . ",0,negative
אדוני הנשיא סליחה על הבוטות תפסיק לזיין את השכל . עד היום לא התבטאת ולו במילה על המצב במדינה . לא הבעת את אהדתך לצבא . לא אמרת מילה טובה ומעודדת לתושבי הדרום . אם חשוב לך תשעה באב אז תחזור להסטוריה ותעלם מעינינו .,1,positive
בהצלחה אדוני הנשיא,0,negative
ואני עוד חשבתי שהגיע נשיא נורמלי,1,positive
נשיא המדינה הלבן והמנותק חכם בדיבורים . הוא לא יהיה שם ברגע האמת לעזור לה לטפל בפצעי המכות האיומות שהיא תקבל . מנותק ומנוכר מעמו . אני בז לו .,1,positive
" דרך צלחה בים סוער !!! מאמינה שתמשיך לנהוג כפי שנהגת בהיותך יו ״ ר הכנסת , ביושרה ובליברליות נאורה , ובמנותק מן הביצה הפוליטית ... ",0,negative
" רובי ריבלין היקר !! אתה איש משפחה לא ???.. מעניין איך היית מגיב - אם הבת שלך הייתה מתחתנת היום עם ערבי .... נשיא מדינה מעודד התבוללות בעם היהודי , לאן הגענו .... ",1,positive
מגיע לך !!!!,0,negative
אמן,0,negative
" ווא מרגש ! בעזרת ה ׳ , , נשיא מדינת ישראל !! ",0,negative
עוד לא שבוע בתפקיד וכבר שכחת מאיפה באת ?,1,positive
בהצלחה,0,negative
אדוני הנשיא . אם הדמוקרטיה ועתיד הדו קיום חשובים לך עשה מעשה ולך להיות אורח של כבוד בחתונה הזאת .,0,negative
" ריבלין הרגע מחקתי אותך , כמה אהבתי אותך על זה נאמר  "" סייג לחוכמה שתיקה "" "" """,1,positive
אם יש מישהו שמגיעה לו זה אתה..בהצלחה,0,negative
תתחיל במעשים !! עוד אחד פחדן ! כהנא צדק,1,positive
" כבוד נשיאנו , אין שמח היה ממני ביום בחירתך , לא חשבתי שכל כך מהר אשמע את שמעון פרס מגרונך , ",1,positive
" עם התגובות שנכתבות פה , יש לך הרבה עבודה לעשות בתור נשיא , בהצלחה ! ",0,negative
רובי ... בדיחה אחת בשבוע ... עם ישראל זקוק לחיוך מידי פעם .,0,negative
