text,actual_label,predicted_sentiment,confidence,processing_time,timestamp
הסרט הזה היה פשוט נהדר! נהניתי מכל רגע,positive,positive,0.6151269215273569,0.08399218471925479,2025-07-11 15:18:23.345690
"לא מרוצה בכלל מהשירות, ממש מאכזב",negative,negative,0.9058895367677853,0.31741984790591127,2025-07-11 15:18:23.345690
"חוויה בסדר, לא משהו מיוחד אבל גם לא גרוע",neutral,neutral,0.9506551875513828,0.13403340338207506,2025-07-11 15:18:23.345690
הטעם היה מעולה והמלצרית מקסימה,positive,positive,0.99,0.5201125285477547,2025-07-11 15:18:23.345690
"גרוע מאוד, בזבוז כסף וזמן",negative,negative,0.5524079880163202,0.41665185577302605,2025-07-11 15:18:23.345690
מקום נחמד לבלות עם המשפחה,positive,positive,0.99,0.8310480216932977,2025-07-11 15:18:23.345690
איכות ירודה ושירות לקוי,negative,negative,0.9166312067609936,0.07452686337487299,2025-07-11 15:18:23.345690
התנסות מדהימה שאמליץ לכולם,positive,positive,0.915007469864309,0.4849956282363674,2025-07-11 15:18:23.345690
"בסדר גמור, כמו בכל מקום",neutral,neutral,0.7819922846239368,0.7483143216978317,2025-07-11 15:18:23.345690
מרוצה מאוד מהרכישה,positive,positive,0.6624622561064315,0.035455579415854976,2025-07-11 15:18:23.345690
"אכזבה גדולה, ציפיתי להרבה יותר",negative,neutral,0.5812917363486695,0.19945363913848646,2025-07-11 15:18:23.345690
שירות מעולה וצוות מקצועי,positive,positive,0.99,1.412688676908276,2025-07-11 15:18:23.345690
לא שווה את המחיר בכלל,negative,negative,0.5416850878723959,0.3020193487534763,2025-07-11 15:18:23.345690
חוויה בלתי נשכחת ומרגשת,positive,positive,0.99,0.18991460667633545,2025-07-11 15:18:23.345690
"ממוצע, יש טובים יותר",neutral,neutral,0.7739557800756277,0.21535373749977332,2025-07-11 15:18:23.345690
איכות גבוהה במחיר הוגן,positive,positive,0.99,1.0290544286150056,2025-07-11 15:18:23.345690
השירות היה איטי ולא יעיל,negative,negative,0.99,1.210342730446229,2025-07-11 15:18:23.345690
מקום מקסים עם אווירה נעימה,positive,positive,0.8322164965088215,0.5166956605210054,2025-07-11 15:18:23.345690
לא הייתי חוזר שוב,negative,negative,0.5881948972367872,0.031000754699214886,2025-07-11 15:18:23.345690
המלצה חמה לכל מי שמחפש איכות,positive,negative,0.37207128680376617,0.8382936344913401,2025-07-11 15:18:23.345690
הסרט הזה היה פשוט נהדר! נהניתי מכל רגע,positive,positive,0.5782515566811893,0.02211679068751234,2025-07-11 15:18:23.345690
"לא מרוצה בכלל מהשירות, ממש מאכזב",negative,positive,0.6002073182786226,0.489191351532109,2025-07-11 15:18:23.345690
"חוויה בסדר, לא משהו מיוחד אבל גם לא גרוע",neutral,neutral,0.8655081471988177,1.3970270324212513,2025-07-11 15:18:23.345690
הטעם היה מעולה והמלצרית מקסימה,positive,neutral,0.25724956495581497,0.6322609781698991,2025-07-11 15:18:23.345690
"גרוע מאוד, בזבוז כסף וזמן",negative,neutral,0.14198556169355253,0.573910955028684,2025-07-11 15:18:23.345690
מקום נחמד לבלות עם המשפחה,positive,neutral,0.5569808766355006,0.09136288717112734,2025-07-11 15:18:23.345690
איכות ירודה ושירות לקוי,negative,negative,0.8310977502142315,1.0213883055102884,2025-07-11 15:18:23.345690
התנסות מדהימה שאמליץ לכולם,positive,neutral,0.4703313941755174,0.1090741435117435,2025-07-11 15:18:23.345690
"בסדר גמור, כמו בכל מקום",neutral,neutral,0.8031421723708856,0.39102969253221304,2025-07-11 15:18:23.345690
מרוצה מאוד מהרכישה,positive,positive,0.99,0.1605759851560861,2025-07-11 15:18:23.345690
"אכזבה גדולה, ציפיתי להרבה יותר",negative,negative,0.99,0.11297670856153434,2025-07-11 15:18:23.345690
שירות מעולה וצוות מקצועי,positive,negative,0.4911333601511442,0.2097100496462127,2025-07-11 15:18:23.345690
לא שווה את המחיר בכלל,negative,negative,0.6781496816811683,0.3461142727751848,2025-07-11 15:18:23.345690
חוויה בלתי נשכחת ומרגשת,positive,positive,0.9220578671178801,0.21016332410568303,2025-07-11 15:18:23.345690
"ממוצע, יש טובים יותר",neutral,negative,0.5558788958053362,0.17049850042394962,2025-07-11 15:18:23.345690
איכות גבוהה במחיר הוגן,positive,positive,0.7048996830617995,0.0388858886794859,2025-07-11 15:18:23.345690
השירות היה איטי ולא יעיל,negative,neutral,0.3907384076043045,0.6565123390120333,2025-07-11 15:18:23.345690
מקום מקסים עם אווירה נעימה,positive,positive,0.9702455676031261,0.19095264133053977,2025-07-11 15:18:23.345690
לא הייתי חוזר שוב,negative,negative,0.8725705116789024,0.0456471650727938,2025-07-11 15:18:23.345690
המלצה חמה לכל מי שמחפש איכות,positive,neutral,0.6483135320405732,0.005663845459254223,2025-07-11 15:18:23.345690
הסרט הזה היה פשוט נהדר! נהניתי מכל רגע,positive,positive,0.8112747856563309,0.32883502020747546,2025-07-11 15:18:23.345690
